⸮⸮⸮⸮MMA8452Q Basic Reading Code!
I2C Verbindung gefunden!.
1568	15
-0.988	-0.164	-0.082	1565	21
-0.984	-0.161	-0.084	1561	27
-0.979	-0.150	-0.090	1561	33
-0.977	-0.155	-0.106	1561	38
-0.979	-0.154	-0.105	1564	45
-0.974	-0.151	-0.092	1564	51
-0.979	-0.156	-0.080	1563	56
-0.976	-0.165	-0.070	1559	62
-0.974	-0.166	-0.063	1555	68
-0.983	-0.171	-0.065	1550	74
-0.978	-0.171	-0.073	1545	79
-0.977	-0.176	-0.059	1546	86
-0.977	-0.172	-0.039	1549	92
-0.980	-0.179	-0.040	1550	97
-0.980	-0.177	-0.063	1552	103
-0.984	-0.183	-0.081	1551	109
-0.982	-0.176	-0.092	1548	115
-0.973	-0.176	-0.093	1546	120
-0.974	-0.173	-0.078	1547	126
-0.976	-0.171	-0.061	1546	133
-0.979	-0.170	-0.063	1544	139
-0.974	-0.177	-0.068	1543	144
-0.972	-0.173	-0.074	1542	150
-0.978	-0.174	-0.082	1543	156
-0.981	-0.182	-0.081	1543	162
-0.986	-0.187	-0.076	1542	167
-0.982	-0.187	-0.080	1541	174
-0.972	-0.187	-0.071	1537	180
-0.974	-0.187	-0.076	1535	186
-0.973	-0.188	-0.087	1537	192
-0.980	-0.194	-0.091	1543	197
-0.981	-0.189	-0.087	1543	203
-0.976	-0.182	-0.077	1538	209
-0.979	-0.180	-0.076	1535	216
-0.980	-0.185	-0.077	1536	221
-0.979	-0.184	-0.078	1537	227
-0.986	-0.190	-0.072	1538	233
-0.985	-0.189	-0.069	1536	239
-0.979	-0.186	-0.069	1537	244
-0.979	-0.178	-0.078	1538	250
-0.976	-0.182	-0.087	1541	257
-0.972	-0.189	-0.091	1543	263
-0.964	-0.188	-0.091	1541	268
-0.974	-0.195	-0.080	1540	274
-0.966	-0.186	-0.083	1538	280
-0.962	-0.181	-0.071	1537	286
-0.969	-0.175	-0.073	1538	291
-0.977	-0.176	-0.083	1538	297
-0.979	-0.174	-0.075	1536	304
-0.979	-0.170	-0.081	1534	310
-0.981	-0.179	-0.075	1533	316
-0.981	-0.148	-0.062	1533	321
-0.982	-0.158	-0.064	1534	327
-0.987	-0.162	-0.070	1533	333
-0.980	-0.174	-0.070	1531	339
-0.981	-0.175	-0.067	1533	345
-0.975	-0.173	-0.065	1536	351
-0.980	-0.172	-0.063	1536	357
-0.982	-0.171	-0.064	1536	363
-0.989	-0.178	-0.067	1537	368
-0.985	-0.174	-0.068	1538	374
-0.987	-0.174	-0.076	1540	380
-0.986	-0.168	-0.075	1538	387
-0.985	-0.171	-0.074	1537	392
-0.982	-0.172	-0.066	1538	398
-0.979	-0.173	-0.064	1539	404
-0.979	-0.175	-0.075	1539	410
-0.977	-0.173	-0.074	1538	415
-0.978	-0.186	-0.071	1536	421
-0.978	-0.178	-0.069	1534	428
-0.980	-0.181	-0.063	1533	434
-0.980	-0.184	-0.064	1531	440
-0.976	-0.183	-0.070	1530	445
-0.977	-0.178	-0.063	1529	451
-0.982	-0.178	-0.067	1532	457
-0.983	-0.166	-0.070	1533	463
-0.984	-0.163	-0.065	1532	468
-0.981	-0.161	-0.069	1529	475
